bulgarian,transliteration,english,category,example_bg,example_en
здравей,zdravey,hello,greetings,Здравей! Как си?,Hello! How are you?
довиждане,dovizhdane,goodbye,greetings,Довиждане! До скоро!,Goodbye! See you soon!
моля,molya,please,greetings,Моля те помогни ми.,Please help me.
благодаря,blagodarya,thank you,greetings,Благодаря много!,Thank you very much!
да,da,yes,greetings,Да разбира се.,Yes of course.
не,ne,no,greetings,Не искам.,I don't want to.
извинете,izvinete,excuse me,greetings,Извинете где е тоалетната?,Excuse me where is the bathroom?
добро утро,dobro utro,good morning,greetings,Добро утро! Как спа?,Good morning! How did you sleep?
лека нощ,leka nosht,good night,greetings,Лека нощ! Сладки сънища!,Good night! Sweet dreams!
как си,kak si,how are you,greetings,Как си днес?,How are you today?
котка,kotka,cat,animals,Котката спи на дивана.,The cat sleeps on the sofa.
куче,kuche,dog,animals,Кучето тича в парка.,The dog runs in the park.
птица,ptitsa,bird,animals,Птицата пее сутринта.,The bird sings in the morning.
риба,riba,fish,animals,Рибата плува в реката.,The fish swims in the river.
кон,kon,horse,animals,Конят е много красив.,The horse is very beautiful.
крава,krava,cow,animals,Кравата дава мляко.,The cow gives milk.
прасе,prase,pig,animals,Прасето е в калта.,The pig is in the mud.
мечка,mechka,bear,animals,Мечката обича мед.,The bear loves honey.
зайче,zaiche,rabbit,animals,Зайчето яде моркови.,The rabbit eats carrots.
лъв,lav,lion,animals,Лъвът е цар на животните.,The lion is the king of the animals.
хляб,hlyab,bread,food,Обичам прясен хляб.,I love fresh bread.
вода,voda,water,food,Искам чаша вода.,I want a glass of water.
мляко,mlyako,milk,food,Детето пие мляко.,The child drinks milk.
ябълка,yabylka,apple,food,Ябълката е червена.,The apple is red.
банан,banan,banana,food,Бананът е жълт.,The banana is yellow.
сирене,sirene,cheese,food,Обичам българско сирене.,I love Bulgarian cheese.
кафе,kafe,coffee,food,Пия кафе всяка сутрин.,I drink coffee every morning.
чай,chay,tea,food,Чаят е горещ.,The tea is hot.
супа,supa,soup,food,Супата е вкусна.,The soup is delicious.
салата,salata,salad,food,Шопската салата е традиционна.,Shopska salad is traditional.
един,edin,one,numbers,Имам един котка.,I have one cat.
две,dve,two,numbers,Имам две деца.,I have two children.
три,tri,three,numbers,Три ябълки.,Three apples.
четири,chetiri,four,numbers,Четири сезона.,Four seasons.
пет,pet,five,numbers,Пет пръста.,Five fingers.
шест,shest,six,numbers,Шест часа.,Six hours.
седем,sedem,seven,numbers,Седем дни в седмицата.,Seven days in the week.
осем,osem,eight,numbers,Осем часа сън.,Eight hours of sleep.
девет,devet,nine,numbers,Девет живота.,Nine lives.
десет,deset,ten,numbers,Десет минути.,Ten minutes.
червен,cherven,red,colors,Розата е червена.,The rose is red.
син,sin,blue,colors,Небето е синьо.,The sky is blue.
зелен,zelen,green,colors,Тревата е зелена.,The grass is green.
жълт,zhylt,yellow,colors,Слънцето е жълто.,The sun is yellow.
бял,byal,white,colors,Снегът е бял.,The snow is white.
черен,cheren,black,colors,Нощта е черна.,The night is black.
оранжев,oranzhev,orange,colors,Портокалът е оранжев.,The orange is orange.
розов,rozov,pink,colors,Цветята са розови.,The flowers are pink.
лилав,lilav,purple,colors,Гроздето е лилаво.,The grapes are purple.
кафяв,kafyav,brown,colors,Мечката е кафява.,The bear is brown.
